Year,Province,District,Latitude,Longitude,Elevation,Month,Cases,Temp_avg,Precipitation_avg,Humidity_avg,Population,Date,Cases_per_1000,Prev_Cases,Case_Growth_Rate,Month_encoded,Month_sin,Month_cos
2019,Western,Colombo,6.924429,79.90725,4.0,9.0,1462.0,26.355357142857144,12.203571428571433,88.35714285714286,,2019-09-01,0.0,1903.0,-0.23173935890698896,9,-1.0,-1.8369701987210297e-16
2019,Western,Colombo,6.924429,79.90725,4.0,10.0,2593.0,25.89821428571429,16.79642857142857,89.67857142857143,,2019-10-01,0.0,1462.0,0.7735978112175103,10,-0.8660254037844386,0.5000000000000001
2019,Western,Colombo,6.924429,79.90725,4.0,11.0,4217.0,26.205357142857142,12.66785714285714,89.14285714285714,,2019-11-01,0.0,2593.0,0.6263015811801003,11,-0.5000000000000004,0.8660254037844384
2019,Western,Colombo,6.924429,79.90725,4.0,12.0,3283.0,26.34464285714285,5.703571428571428,87.35714285714286,,2019-12-01,0.0,4217.0,-0.2214844676310173,12,-2.4492935982947064e-16,1.0
2020,Western,Colombo,6.924429,79.90725,4.0,1.0,1693.0,26.882142857142853,0.7107142857142856,78.21428571428571,,2020-01-01,0.0,3283.0,-0.4843131282363692,1,0.49999999999999994,0.8660254037844387
2020,Western,Colombo,6.924429,79.90725,4.0,2.0,767.0,28.030357142857145,0.8535714285714285,73.07142857142857,,2020-02-01,0.0,1693.0,-0.5469580626107502,2,0.8660254037844386,0.5000000000000001
2020,Western,Colombo,6.924429,79.90725,4.0,3.0,235.0,28.105357142857144,1.135714285714286,77.67857142857143,,2020-03-01,0.0,767.0,-0.6936114732724902,3,1.0,6.123233995736766e-17
2020,Western,Colombo,6.924429,79.90725,4.0,4.0,30.0,27.95892857142857,5.271428571428571,82.39285714285714,,2020-04-01,0.0,235.0,-0.8723404255319149,4,0.8660254037844387,-0.4999999999999998
2020,Western,Colombo,6.924429,79.90725,4.0,5.0,189.0,27.8625,9.482142857142858,85.96428571428571,,2020-05-01,0.0,30.0,5.3,5,0.49999999999999994,-0.8660254037844387
2020,Western,Colombo,6.924429,79.90725,4.0,6.0,294.0,27.51428571428572,8.910714285714286,85.28571428571429,,2020-06-01,0.0,189.0,0.5555555555555556,6,1.2246467991473532e-16,-1.0
2020,Western,Colombo,6.924429,79.90725,4.0,7.0,324.0,26.92857142857143,7.796428571428572,86.60714285714286,,2020-07-01,0.0,294.0,0.10204081632653061,7,-0.4999999999999997,-0.8660254037844388
2020,Western,Colombo,6.924429,79.90725,4.0,8.0,231.0,26.94464285714286,6.785714285714284,86.35714285714286,,2020-08-01,0.0,324.0,-0.28703703703703703,8,-0.8660254037844385,-0.5000000000000004
2020,Western,Colombo,6.924429,79.90725,4.0,9.0,192.0,26.276785714285708,12.589285714285712,87.96428571428571,,2020-09-01,0.0,231.0,-0.16883116883116883,9,-1.0,-1.8369701987210297e-16
2020,Western,Colombo,6.924429,79.90725,4.0,10.0,151.0,26.82678571428572,3.710714285714286,84.28571428571429,,2020-10-01,0.0,192.0,-0.21354166666666666,10,-0.8660254037844386,0.5000000000000001
2020,Western,Colombo,6.924429,79.90725,4.0,11.0,59.0,26.475,13.275,87.25,,2020-11-01,0.0,151.0,-0.609271523178808,11,-0.5000000000000004,0.8660254037844384
2020,Western,Colombo,6.924429,79.90725,4.0,12.0,92.0,25.932142857142853,4.803571428571429,85.03571428571429,,2020-12-01,0.0,59.0,0.559322033898305,12,-2.4492935982947064e-16,1.0
2021,Western,Colombo,6.924429,79.90725,4.0,1.0,208.0,25.755357142857143,9.114285714285714,85.85714285714286,,2021-01-01,0.0,92.0,1.2608695652173914,1,0.49999999999999994,0.8660254037844387
2021,Western,Colombo,6.924429,79.90725,4.0,2.0,388.0,26.7,0.8214285714285714,77.78571428571429,,2021-02-01,0.0,208.0,0.8653846153846154,2,0.8660254037844386,0.5000000000000001
2021,Western,Colombo,6.924429,79.90725,4.0,3.0,677.0,26.616071428571427,7.067857142857142,83.53571428571429,,2021-03-01,0.0,388.0,0.7448453608247423,3,1.0,6.123233995736766e-17
2021,Western,Colombo,6.924429,79.90725,4.0,4.0,773.0,27.269642857142856,3.4428571428571435,84.25,,2021-04-01,0.0,677.0,0.14180206794682423,4,0.8660254037844387,-0.4999999999999998
2021,Western,Colombo,6.924429,79.90725,4.0,5.0,588.0,27.276785714285715,14.660714285714286,86.46428571428571,,2021-05-01,0.0,773.0,-0.23932729624838292,5,0.49999999999999994,-0.8660254037844387
2021,Western,Colombo,6.924429,79.90725,4.0,6.0,1235.0,26.98214285714285,8.639285714285718,85.03571428571429,,2021-06-01,0.0,588.0,1.1003401360544218,6,1.2246467991473532e-16,-1.0
2021,Western,Colombo,6.924429,79.90725,4.0,7.0,1286.0,26.925,9.696428571428571,85.42857142857143,,2021-07-01,0.0,1235.0,0.04129554655870445,7,-0.4999999999999997,-0.8660254037844388
2021,Western,Colombo,6.924429,79.90725,4.0,8.0,455.0,26.59464285714286,9.160714285714286,85.96428571428571,,2021-08-01,0.0,1286.0,-0.6461897356143079,8,-0.8660254037844385,-0.5000000000000004
2021,Western,Colombo,6.924429,79.90725,4.0,9.0,572.0,26.683928571428574,9.196428571428571,85.96428571428571,,2021-09-01,0.0,455.0,0.2571428571428571,9,-1.0,-1.8369701987210297e-16
